"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Harvard University",42.3744,-71.1182,"Cambridge",12,42292.0,42292.0,2,"www.harvard.edu",0.9747,0.9706,0.0584,6000.0,18800.0,44400.0,138200.0,233800.0,0.810585,0.840102,0.913043,0.948387
"Hastings College",40.5904,-98.3736,"Hastings",32,25520.0,25520.0,2,"www.hastings.edu",0.5762,0.661,0.7364,27000.0,12900.0,23300.0,42800.0,56300.0,0.922929,0.899441,0.87689,0.938897
"Hendrix College",35.0997,-92.442,"Conway",13,37816.0,37816.0,2,"www.hendrix.edu",0.6959,0.878,0.8039,24924.0,5200.0,13100.0,37300.0,50200.0,0.894428,0.869688,0.888889,0.935484
"Herzing University-Minneapolis",45.0563,-93.3665,"Minneapolis",21,11150.0,11150.0,3,"www.herzing.edu",0.7333,0.3333,0.7126,22822.0,7200.0,16800.0,42200.0,58300.0,0.474006,0.474266,0.582599,0.678628
"Herzing University-Winter Park",28.5795,-81.3075,"Winter Park",21,12020.0,12020.0,3,"www.herzing.edu",0.6296,0.4,0.7083,22822.0,7200.0,16800.0,42200.0,58300.0,0.474006,0.474266,0.582599,0.678628
"High Point University",35.9727,-79.9945,"High Point",12,30715.0,30715.0,2,"www.highpoint.edu",0.6176,0.75,0.6418,25394.5,10200.0,20300.0,43200.0,56800.0,0.746518,0.765599,0.751701,0.82296
"Hillsdale Free Will Baptist College",35.3008,-97.4911,"Moore",21,11600.0,11600.0,2,"www.hc.edu",0.5119,0.4528,0.4331,17500.0,10900.0,18000.0,39800.0,63200.0,0.598039,0.646018,0.645833,0.762821
"Hiram College",41.311,-81.1416,"Hiram",31,30290.0,30290.0,2,"WWW.HIRAM.EDU",0.6456,0.7566,0.5736,27000.0,12100.0,21400.0,42700.0,56400.0,0.801527,0.812834,0.847458,0.875211
"Hobart William Smith Colleges",42.8586,-76.9848,"Geneva",32,46165.0,46165.0,2,"WWW.HWS.EDU",0.79,0.8817,0.4944,27000.0,8000.0,21900.0,50300.0,68200.0,0.948929,0.949074,0.943038,0.953125
"Hofstra University",40.716,-73.6008,"Hempstead",21,37400.0,37400.0,2,"www.hofstra.edu",0.6212,0.7826,0.5871,23900.0,10000.0,21800.0,53600.0,73600.0,0.835948,0.849331,0.841031,0.893027
"Hollins University",37.3546,-79.9422,"Roanoke",22,33320.0,33320.0,2,"www.hollins.edu",0.5971,0.6719,0.693,27000.0,5800.0,15200.0,36200.0,48700.0,0.807074,0.802899,0.831169,0.88
"Holy Family University",40.0604,-74.9904,"Philadelphia",11,27100.0,27100.0,2,"www.holyfamily.edu",0.5461,0.7792,0.7585,27000.0,13600.0,27400.0,61000.0,75500.0,0.847011,0.851429,0.84335,0.883333
"Hood College",39.4219,-77.4193,"Frederick",13,33280.0,33280.0,2,"www.hood.edu",0.6644,0.777,0.8102,27000.0,7500.0,19600.0,45300.0,56700.0,0.897666,0.888704,0.880325,0.908397
"Hope College",42.7881,-86.1054,"Holland",13,28720.0,28720.0,2,"www.hope.edu",0.7814,0.8836,0.7253,27000.0,10600.0,21000.0,46100.0,60000.0,0.920245,0.945295,0.9609,0.973267
"Houghton College",42.4268,-78.1569,"Houghton",43,27728.0,27728.0,2,"www.houghton.edu",0.7386,0.8755,0.9108,23500.0,6500.0,15500.0,40400.0,57800.0,0.946037,0.931746,0.90779,0.940127
