"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Rolla Technical Institute",37.9477,-91.7511,"Rolla",33,0.0,0.0,1,"rolla.k12.mo.us",0.0,0.0,0.5053,9500.0,4800.0,14900.0,41300.0,54000.0,0.702532,0.679487,0.618785,0.715976
"Rollins College",28.592,-81.3487,"Winter Park",21,41460.0,41460.0,2,"www.rollins.edu",0.6705,0.834,0.5889,27000.0,7200.0,18300.0,46400.0,63000.0,0.77898,0.831293,0.861582,0.83924
"Roman Academy of Beauty Culture",40.9528,-74.155,"Hawthorne",21,0.0,0.0,3,"ROMANACADEMY.NET",0.0,0.0,0.0,7667.0,0.0,0.0,0.0,0.0,0.666667,0.605263,0.635294,0.65812
"Roosevelt University",41.8761,-87.625,"Chicago",11,26500.0,26500.0,2,"www.roosevelt.edu",0.4144,0.5832,0.7878,24673.0,8200.0,19800.0,48100.0,67100.0,0.7425,0.733569,0.80134,0.851395
"Rosalind Franklin University of Medicine and Science",42.3001,-87.8596,"North Chicago",21,0.0,0.0,2,"www.rosalindfranklin.edu/",0.0,0.0,0.0,0.0,39600.0,55100.0,98700.0,116600.0,0.0,0.0,0.0,1.0
"Rose State College",35.4443,-97.4139,"Midwest City",21,3104.0,9346.0,1,"www.rose.edu",0.0,0.0,0.0,10250.0,5500.0,14700.0,38800.0,55800.0,0.510797,0.535596,0.562814,0.584716
"Rose-Hulman Institute of Technology",39.4809,-87.3236,"Terre Haute",13,42654.0,42654.0,2,"www.rose-hulman.edu",0.7284,0.9123,0.5622,27000.0,22700.0,45700.0,75400.0,98500.0,0.955307,0.971186,0.964286,0.97686
"Roseburg Beauty College",43.2095,-123.346,"Roseburg",33,0.0,0.0,3,"roseburgbeautycollege.com",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.625,0.478261,0.666667
"Rosedale Bible College",40.0778,-83.4555,"Irwin",42,8426.0,8426.0,2,"www.rosedale.edu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Rosedale Technical Institute",40.4521,-80.1039,"Pittsburgh",21,13310.0,13310.0,2,"www.rosedaletech.org",0.0,0.0,0.0,16000.0,4100.0,14800.0,39400.0,52600.0,0.720698,0.575243,0.560484,0.521173
"Rosel School of Cosmetology",41.9977,-87.6913,"Chicago",11,0.0,0.0,3,"www.roselschool.org",0.0,0.0,0.0,0.0,3400.0,9200.0,20500.0,30500.0,0.0,0.0,0.0,0.0
"Roseman University of Health Sciences",36.0727,-115.067,"Henderson",11,0.0,0.0,2,"www.roseman.edu",0.0,0.0,0.0,27500.0,0.0,0.0,0.0,0.0,0.866667,0.836066,0.0,0.0
"Rosemead Beauty School",34.0808,-118.083,"Rosemead",21,0.0,0.0,3,"www.rosemead-beauty-school.com",0.0,0.0,0.0,0.0,3100.0,5300.0,17900.0,29300.0,0.0,0.0,0.0,0.0
"Rosemont College",40.0348,-75.3299,"Rosemont",21,30950.0,30950.0,2,"www.rosemont.edu",0.4559,0.7067,0.5838,28000.0,6100.0,17300.0,45700.0,63000.0,0.616788,0.726384,0.780877,0.889632
"Ross College-Sylvania",41.7109,-83.6809,"Sylvania",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4600.0,13300.0,28800.0,33700.0,0.580176,0.496933,0.490838,0.576832
"Ross Medical Education Center-Ann Arbor",42.2531,-83.667,"Ann Arbor",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4600.0,13300.0,28800.0,33700.0,0.580176,0.496933,0.490838,0.576832
"Ross Medical Education Center-Bowling Green",0.0,0.0,"Bowling Green",13,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.436446,0.404179,0.454355
"Ross Medical Education Center-Brighton",42.5444,-83.7981,"Brighton",22,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4600.0,13300.0,28800.0,33700.0,0.580176,0.496933,0.490838,0.576832
"Ross Medical Education Center-Canton",42.3221,-83.4822,"Canton",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,3600.0,9800.0,25400.0,33700.0,0.491412,0.436446,0.404179,0.454355
"Ross Medical Education Center-Charleston",0.0,0.0,"Charleston",13,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.482156,0.449527,0.553015
"Ross Medical Education Center-Cincinnati",39.2919,-84.4857,"Cincinnati",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,5000.0,14500.0,30200.0,37400.0,0.625,0.565598,0.689956,0.706667
"Ross Medical Education Center-Davison",43.0377,-83.518,"Davison",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4600.0,13300.0,28800.0,33700.0,0.580176,0.496933,0.490838,0.576832
"Ross Medical Education Center-Dayton",0.0,0.0,"Dayton",12,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.565598,0.689956,0.706667
"Ross Medical Education Center-Erlanger",0.0,0.0,"Erlanger",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.496933,0.490838,0.576832
"Ross Medical Education Center-Flint",43.0166,-83.7499,"Flint",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,3600.0,9800.0,25400.0,33700.0,0.491412,0.436446,0.404179,0.454355
"Ross Medical Education Center-Fort Wayne",41.1148,-85.1454,"Fort Wayne",11,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4700.0,11600.0,29200.0,34500.0,0.579764,0.482156,0.449527,0.553015
"Ross Medical Education Center-Granger",41.7203,-86.1743,"Granger",13,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,2800.0,9900.0,27400.0,36000.0,0.532192,0.490923,0.400394,0.40566
"Ross Medical Education Center-Kentwood",42.9169,-85.5727,"Kentwood",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4700.0,11600.0,29200.0,34500.0,0.579764,0.482156,0.449527,0.553015
"Ross Medical Education Center-Kokomo",0.0,0.0,"Kokomo",13,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.565598,0.689956,0.706667
"Ross Medical Education Center-Lansing",42.7419,-84.6058,"Lansing",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,4700.0,11600.0,29200.0,34500.0,0.579764,0.482156,0.449527,0.553015
"Ross Medical Education Center-Madison Heights",42.5082,-83.1077,"Madison Heights",21,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,2800.0,9900.0,27400.0,36000.0,0.532192,0.490923,0.400394,0.40566
"Ross Medical Education Center-Morgantown",0.0,0.0,"Morgantown",23,0.0,0.0,3,"www.rosseducation.edu",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.490923,0.400394,0.40566
