,LATITUDE,LONGITUDE,CITY,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,INSTURL,C150_4,RET_FT4,ADM_RATE,GRAD_DEBT_MDN,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,RPY_1YR_RT,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT
Spring Hill College,30.6948,-88.1382,Mobile,12,30924,30924,2,www.shc.edu,0.5632,0.7559,0.4627,27000,7700,20100,47100,62100,0.794117647,0.811918063,0.823913043,0.841924399
Southeastern Bible College,33.3789,-86.749,Birmingham,21,11370,11370,2,www.sebc.edu,0.1935,0.6429,0.9615,30083,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.495726496,0.496062992,0.644067797,0.788732394
Stillman College,33.1992,-87.5852,Tuscaloosa,13,15901,15901,2,www.stillman.edu,0.2619,0.6123,0.43,38359,5000,12000,32400,43400,0.300869565,0.293563579,0.34057971,0.584170854
Talladega College,33.4343,-86.1137,Talladega,32,11492,11492,2,www.talladega.edu,0.824,0.3285,NULL,32000,1300,7900,26500,35600,0.241486068,0.292479109,0.223602484,0.431451613
H Councill Trenholm State Technical College,32.3501,-86.3431,Montgomery,12,3288,5952,1,www.trenholmstate.edu,NULL,NULL,NULL,NULL,4900,10700,30200,44900,NULL,NULL,NULL,NULL
Troy University,31.8001,-85.9502,Troy,41,7276,13612,1,www.troy.edu,0.3466,0.7389,0.6821,26000,8300,17800,43700,60300,0.520344828,0.543508214,0.591648291,0.69481933
Troy University-Phenix City Campus,NULL,NULL,Phenix City,NULL,7276,13612,1,http://www.troy.edu/locations/phenix-city-campus.html,NULL,NULL,NULL,26000,8300,17800,43700,60300,0.520344828,0.543508214,0.591648291,0.69481933
Troy University-Montgomery Campus,NULL,NULL,Montgomery,NULL,7276,13612,1,http://www.troy.edu/locations/montgomery-campus.html,NULL,NULL,NULL,26000,8300,17800,43700,60300,0.520344828,0.543508214,0.591648291,0.69481933
Troy University-Dothan Campus,NULL,NULL,Dothan,NULL,7276,13612,1,http://www.troy.edu/locations/dothan-campus.html,NULL,NULL,NULL,26000,8300,17800,43700,60300,0.520344828,0.543508214,0.591648291,0.69481933
Troy University-eTROY,NULL,NULL,Troy,NULL,7392,7392,1,http://www.troy.edu/etroy/online-learning.html,NULL,NULL,NULL,26000,8300,17800,43700,60300,0.520344828,0.543508214,0.591648291,0.69481933
Troy University-Global Campus,NULL,NULL,Troy,NULL,5760,5760,1,http://trojan.troy.edu/globalcampus/,NULL,NULL,NULL,26000,NULL,NULL,NULL,NULL,NULL,0.543508214,0.591648291,0.69481933
Tuskegee University,32.431,-85.7103,Tuskegee,32,18900,18900,2,www.tuskegee.edu,0.4384,0.7242,0.3511,33250,6000,13200,41500,65900,0.489572989,0.618340611,0.601890756,0.733333333
United States Sports Academy,30.6393,-87.9116,Daphne,13,NULL,NULL,2,www.ussa.edu,NULL,NULL,NULL,30095.5,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.738095238,0.72826087,0.805825243,PrivacySuppressed
Bevill State Community College,33.8358,-87.265,Jasper,32,4230,7560,1,www.bscc.edu,NULL,NULL,NULL,NULL,5000,12000,36700,50900,NULL,NULL,NULL,NULL
University of Alaska Anchorage,61.1896,-149.8261,Anchorage,11,5147,15206,1,www.uaa.alaska.edu,0.2547,0.7062,NULL,20675,6600,19600,55400,77600,0.760493827,0.747384537,0.794664269,0.810933941
Alaska Bible College,62.113,-145.5262,Palmer,32,9200,9200,2,www.akbible.edu/,NULL,0.6,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Alaska Fairbanks,64.8571,-147.8248,Fairbanks,23,4984,15560,1,www.uaf.edu,0.309,0.7687,NULL,20000,5300,15200,48300,67300,0.701923077,0.695026962,0.751343054,0.790544977
University of Alaska Southeast,58.3843,-134.6363,Juneau,33,5693,16269,1,www.uas.alaska.edu,0.1389,0.7158,NULL,19437.5,4100,15400,45200,60600,0.736734694,0.732209738,0.726890756,0.769387755
Alaska Pacific University,61.1912,-149.8042,Anchorage,11,29810,29810,2,www.alaskapacific.edu,0.3902,0.6667,0.3745,25125,8200,19600,54300,68900,0.801843318,0.768240343,0.860696517,0.838565022
AVTEC-Alaska's Institute of Technology,60.1107,-149.4446,Seward,43,NULL,NULL,1,www.avtec.edu/,NULL,NULL,0.4888,5583,2500,12700,49700,72900,0.821656051,0.770186335,0.786324786,0.642857143
Charter College-Anchorage,61.1958,-149.8402,Anchorage,11,19882,19882,3,www.chartercollege.edu,0.3534,0.4333,NULL,13000,5200,15900,51300,67400,0.629576108,0.515252622,0.600297177,0.756862745
Prince William Sound Community College,61.1224,-146.178,Valdez,43,4448,4448,1,www.pwscc.edu,NULL,NULL,NULL,20675,6600,19600,55400,77600,0.760493827,0.747384537,0.794664269,0.810933941
Alaska Career College,61.1814,-149.857,Anchorage,11,NULL,NULL,3,www.alaskacareercollege.edu,NULL,NULL,NULL,9500,4600,14500,39200,48600,0.724522293,0.590111643,0.578947368,0.656184486
Everest College-Phoenix,33.581,-112.1138,Phoenix,11,12960,12960,3,www.everestcollegephoenix.edu,0.3175,NULL,NULL,9500,3800,11700,34300,44400,0.312645938,0.230348837,0.255664336,0.452941176
Collins College,33.4033,-111.9865,Phoenix,11,NULL,NULL,3,www.collinscollege.edu,0.3773,NULL,NULL,42103,3600,10400,33900,47400,0.374151309,0.366061163,0.397110849,0.517006803
Empire Beauty School-Paradise Valley,33.6026,-111.9764,Phoenix,11,NULL,NULL,3,www.empire.edu,NULL,NULL,NULL,9522,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.515873016,0.473684211,0.502248876,0.564929694
Empire Beauty School-Tucson,32.2357,-110.9272,Tucson,11,NULL,NULL,3,www.empire.edu,NULL,NULL,NULL,9046.5,2900,9600,27900,37500,0.449304175,0.386120996,0.44469526,0.585152838
Thunderbird School of Global Management,33.6209,-112.1809,Glendale,21,NULL,NULL,2,www.thunderbird.edu,NULL,NULL,NULL,PrivacySuppressed,6700,61500,131200,169300,PrivacySuppressed,PrivacySuppressed,NULL,NULL
Global MBA Latin American Managers Program Satellite Campus,NULL,NULL,Doral,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
American Indian College of the Assemblies of God Inc,33.5777,-112.0922,Phoenix,11,12000,12000,2,www.aicag.edu/,0.5,0.6667,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.35483871,0.46875,PrivacySuppressed,PrivacySuppressed
American Institute of Technology,33.4423,-112.1753,Phoenix,11,NULL,NULL,3,www.ait-schools.com,NULL,NULL,NULL,6215,3700,13300,41100,55000,0.76093681,0.554477283,0.384046053,0.478383459
Carrington College-Phoenix,33.5608,-112.1155,Phoenix,11,NULL,NULL,3,www.carrington.edu,0.6443,NULL,1,9500,4100,11500,32300,44300,0.519606445,0.475178297,0.457754859,0.540723503
Carrington College-Mesa,33.393,-111.8553,Mesa,11,NULL,NULL,3,www.carrington.edu,NULL,NULL,1,9500,4100,11500,32300,44300,0.519606445,0.475178297,0.457754859,0.540723503
Carrington College-Tucson,32.2709,-110.978,Tucson,11,NULL,NULL,3,www.carrington.edu,NULL,NULL,1,9500,4100,11500,32300,44300,0.519606445,0.475178297,0.457754859,0.540723503
College America-Flagstaff,35.2112,-111.6048,Flagstaff,13,17211,17211,2,www.collegeamerica.edu,0.4667,0.6522,NULL,25667.5,2600,8800,29300,37900,0.127433628,0.152317881,0.197007481,0.282282282
Arizona Academy of Beauty-East,32.2373,-110.8723,Tucson,11,NULL,NULL,3,www.arizonaacademy.com,NULL,NULL,NULL,5975,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.424657534,0.278481013,0.339285714,0.527027027
Arizona Automotive Institute,33.5372,-112.1573,Glendale,21,NULL,NULL,3,www.aai.edu,NULL,NULL,NULL,13000,4700,12900,38400,52000,0.224100327,0.154288703,0.229426434,0.449725777
Brookline College-Phoenix,33.5254,-112.1501,Phoenix,11,NULL,NULL,3,www.brooklinecollege.edu,0.4664,0.4471,NULL,9500,2400,8600,28100,38200,0.295679663,0.229979879,0.240723982,0.366652488
Arizona State University-Tempe,33.4219,-111.94,Tempe,12,9861,23654,1,www.asu.edu/,0.5947,0.844,0.8023,20375,10400,22900,51200,70000,0.774707161,0.802837511,0.818742479,0.86040211
Arizona Western College,32.6893,-114.496,Yuma,13,2420,7895,1,www.azwestern.edu,NULL,NULL,NULL,6000,4100,11400,32600,47300,0.487430168,0.477477477,0.50262697,0.619607843
University of Arizona,32.2321,-110.9508,Tucson,11,10391,27383,1,www.arizona.edu,0.6139,0.8148,0.7692,19000,9200,20600,49600,69600,0.822275956,0.832651333,0.862058081,0.907662789
Southwest University of Visual Arts-Tucson,32.2524,-110.9273,Tucson,11,34541,34541,3,www.suva.edu,0.8333,0.8462,NULL,50437,4400,11200,34200,44500,0.453531599,0.463087248,0.598820059,0.65535248
Brillare Hairdressing Academy,33.624,-111.9255,Scottsdale,12,NULL,NULL,3,www.brillare.com/,NULL,NULL,NULL,11789,3900,9100,33000,43200,0.711180124,0.692771084,0.675409836,0.824925816
Central Arizona College,32.9571,-111.6525,Coolidge,41,2310,10260,1,www.centralaz.edu,NULL,NULL,NULL,10500,4600,12300,34700,49800,0.468559838,0.473537604,0.510791367,0.596059113
