"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"University of West Georgia",33.5744,-85.099,"Carrollton",31,5837.0,15903.0,1,"www.westga.edu",0.4287,0.7147,0.5385,23001.0,8900.0,17700.0,42300.0,56100.0,0.67994,0.737473,0.7586,0.803196
"University of Wisconsin-Eau Claire",44.7984,-91.5004,"Eau Claire",13,8710.0,16283.0,1,"www.uwec.edu",0.6693,0.8228,0.7646,23250.0,14000.0,23700.0,47200.0,60400.0,0.91292,0.933619,0.942991,0.951618
"University of Wisconsin-Green Bay",44.5311,-87.9205,"Green Bay",12,7676.0,15249.0,1,"www.uwgb.edu",0.464,0.7192,0.8476,21711.0,12100.0,21300.0,42800.0,55800.0,0.892237,0.902553,0.9285,0.951627
"University of Wisconsin-La Crosse",43.8153,-91.2301,"La Crosse",13,8769.0,16342.0,1,"www.uwlax.edu",0.672,0.8656,0.72,23203.0,13700.0,24900.0,47300.0,60800.0,0.948607,0.947138,0.94357,0.965698
"University of Wisconsin-Madison",43.0739,-89.4054,"Madison",12,10403.0,26653.0,1,"www.wisc.edu",0.8284,0.9517,0.6792,23000.0,14300.0,26900.0,58300.0,76800.0,0.947036,0.953165,0.959054,0.972132
"University of Wisconsin-Milwaukee",43.0768,-87.8805,"Milwaukee",11,9300.0,19029.0,1,"www.uwm.edu",0.4141,0.7007,0.8608,25107.5,11200.0,21400.0,46400.0,59300.0,0.824971,0.827403,0.850454,0.866162
"University of Wisconsin-Oshkosh",44.025,-88.5493,"Oshkosh",13,7401.0,14974.0,1,"www.uwosh.edu",0.5351,0.7522,0.8134,23868.0,13100.0,22500.0,45100.0,57200.0,0.889799,0.892964,0.908192,0.939505
"University of Wisconsin-Parkside",42.6461,-87.8554,"Kenosha",22,7316.0,14889.0,1,"www.uwp.edu",0.3073,0.7271,0.7547,24250.0,7400.0,16600.0,41800.0,55600.0,0.707817,0.703039,0.78125,0.80747
"University of Wisconsin-Platteville",42.7339,-90.4927,"Platteville",32,7484.0,15057.0,1,"www.uwplatt.edu",0.5423,0.7533,0.9647,24000.0,13500.0,23200.0,51500.0,64900.0,0.92014,0.915528,0.922789,0.933216
"University of Wisconsin-River Falls",44.8526,-92.6253,"River Falls",32,7720.0,15293.0,1,"www.uwrf.edu",0.5141,0.7196,0.8663,24700.0,11500.0,21700.0,41300.0,53500.0,0.911898,0.915487,0.917642,0.938031
"University of Wisconsin-Stevens Point",44.5296,-89.5709,"Stevens Point",32,7577.0,15150.0,1,"www.uwsp.edu",0.5804,0.789,0.8285,25000.0,12100.0,21400.0,40500.0,52000.0,0.928098,0.922934,0.935033,0.956115
"University of Wisconsin-Stout",44.8886,-91.9298,"Menomonie",32,8968.0,16714.0,1,"www.uwstout.edu",0.5426,0.7329,0.8927,24752.5,13300.0,23800.0,46600.0,59800.0,0.911877,0.914696,0.925313,0.945186
"University of Wisconsin-Superior",46.7175,-92.089,"Superior",22,7946.0,15519.0,1,"www.uwsuper.edu",0.4111,0.6565,0.8927,23500.0,8700.0,17300.0,39600.0,51300.0,0.792673,0.819205,0.820051,0.864843
"University of Wisconsin-Whitewater",42.8356,-88.7424,"Whitewater",32,7578.0,15151.0,1,"www.uww.edu",0.5483,0.7694,0.8468,25250.0,12000.0,21100.0,42800.0,55000.0,0.84373,0.880035,0.905948,0.908471
"Upper Iowa University",42.8403,-91.7997,"Fayette",43,24400.0,24400.0,2,"www.uiu.edu",0.3963,0.722,0.5818,22500.0,10900.0,24000.0,48000.0,64500.0,0.784395,0.779899,0.782338,0.852104
"Ursinus College",40.1941,-75.4557,"Collegeville",21,44530.0,44530.0,2,"www.ursinus.edu",0.7906,0.8925,0.6633,27000.0,9700.0,24200.0,53000.0,70700.0,0.947266,0.947559,0.928705,0.968354
"Ursuline College",41.495,-81.4667,"Pepper Pike",21,26720.0,26720.0,2,"www.ursuline.edu",0.5,0.6517,0.5782,29250.0,11000.0,24600.0,58900.0,69600.0,0.774725,0.767521,0.757417,0.853952
"Utah State University",41.7407,-111.814,"Logan",13,6030.0,17550.0,1,"www.usu.edu",0.5109,0.6577,0.9674,13500.0,5400.0,17200.0,47400.0,64100.0,0.868272,0.891237,0.920009,0.940775
"Utica College",43.0952,-75.2724,"Utica",13,33320.0,33320.0,2,"www.utica.edu/",0.4715,0.7194,0.8542,25000.0,9500.0,21100.0,47300.0,63100.0,0.7648,0.783167,0.80836,0.820919
"Valdosta State University",30.8492,-83.2899,"Valdosta",13,5889.0,16814.0,1,"www.valdosta.edu",0.4017,0.6885,0.5522,25245.0,9000.0,17800.0,40100.0,53200.0,0.669257,0.710249,0.75423,0.808211
"Valley City State University",46.9191,-98.0018,"Valley City",33,6516.0,14596.0,1,"www.vcsu.edu",0.462,0.6444,0.829,22777.5,11800.0,22200.0,43500.0,60200.0,0.861893,0.875,0.880759,0.865934
"Valley Forge Christian College",40.1183,-75.5486,"Phoenixville",21,19394.0,19394.0,2,"www.vfcc.edu",0.4176,0.7362,0.6585,27000.0,7100.0,15000.0,36600.0,48300.0,0.827273,0.785714,0.819149,0.863958
"Valparaiso University",41.4632,-87.0459,"Valparaiso",21,33480.0,33480.0,2,"valpo.edu",0.7013,0.8636,0.7969,27000.0,12200.0,22800.0,52700.0,66300.0,0.886476,0.902655,0.938494,0.948605
"Vanderbilt University",36.1444,-86.8049,"Nashville",11,42978.0,42978.0,2,"www.vanderbilt.edu",0.9252,0.9732,0.1274,13750.0,12700.0,28700.0,72000.0,102200.0,0.940529,0.950102,0.933031,0.955289
